S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P; P
S; W; W; W; W; W; W; W; W; W; W; B; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; B; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; B; W; W; W; W; W; W; W; W; W; W; W; W; W; W; W; B
S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S; S
